""	"Mean MTP_MT"	"Mean MT_MB"	"clusters"
"2545"	0.07616422	0.2689673	7
"2547"	0.04305902	0.2612752	7
"2548"	0.07954974	0.321497	7
"2549"	0.003908046	0.2195993	7
"2550"	0.02202876	0.2288805	7
"2551"	0.05838036	0.3097116	7
"2553"	0.007230137	0.2936839	7
"2554"	0.01317325	0.2232247	7
"2555"	0.03153195	0.2562375	7
"2556"	-0.01653677	0.2872832	7
"2558"	0.1345666	0.2938996	7
"2559"	0.00800668	0.2245214	7
"2560"	-0.09559075	0.2635625	7
"2562"	0.09152586	0.3309163	7
"2563"	0.1167549	0.2341917	7
"2564"	0.0276665	0.3027189	7
"2566"	-0.0064234	0.2873936	7
"2568"	0.06571234	0.3268228	7
"2569"	0.01471752	0.2580484	7
"2570"	0.03619312	0.2662109	7
"2571"	-0.02517181	0.2398898	7
"2573"	0.02294113	0.2943155	7
"2575"	0.01848309	0.2938019	7
"2576"	0.01967794	0.2562182	7
"2577"	0.05383974	0.2310693	7
"2578"	0.04130758	0.2626988	7
"2580"	0.04685031	0.222583	7
"2581"	0.06965007	0.2300447	7
"2582"	0.05884306	0.2665148	7
"2583"	-0.01541779	0.2685391	7
"2584"	0.0490482	0.2871203	7
"2585"	-0.01504905	0.2706573	7
"2587"	0.003764788	0.3316677	7
"2588"	0.04708891	0.3086772	7
"2590"	0.08389261	0.22239	7
"1049"	-0.1035227	0.166337	9
"1050"	-0.04017083	0.1144635	9
"1055"	-0.01550132	0.1115232	9
"1065"	-0.01239506	0.1083043	9
"1070"	0.03948728	0.1523647	9
"1071"	-0.03124755	0.1202232	9
"1074"	-0.05952885	0.123835	9
"1082"	0.01200768	0.109478	9
"1084"	0.01354287	0.1410929	9
"1088"	-0.001984067	0.126992	9
"1098"	0.03095565	0.1052033	9
"1101"	-0.04176442	0.1096052	9
"1102"	-0.007534882	0.1150812	9
"1120"	-0.02527037	0.1315994	9
"1126"	0.01019749	0.1708397	9
"1128"	0.01471728	0.1004359	9
"1129"	-0.07333115	0.117809	9
"1137"	0.01875292	0.1033872	9
"1144"	0.0122179	0.1176906	9
"1148"	0.02158769	0.1024194	9
"1151"	-0.06675504	0.1973082	9
"1158"	0.01487573	0.1089859	9
"1159"	-0.002963642	0.1197279	9
"1162"	-0.000352869	0.1192437	9
"1169"	0.02167883	0.115376	9
"1177"	-0.007031802	0.113814	9
"1182"	-0.03874335	0.1198261	9
"1184"	0.0106539	0.1327185	9
"1186"	0.04011746	0.1842706	9
"1187"	0.02136098	0.1090784	9
"1197"	0.005360562	0.1053127	9
"1207"	-0.006083113	0.1088845	9
"1210"	-0.06407269	0.1211423	9
